NAME,Flag
Farragut Partners LLP,2023 registered House lobbyist
"Delta Development Group, Inc.",2023 registered House lobbyist
HUSCH BLACKWELL STRATEGIES,2023 registered House lobbyist
"ENS RESOURCES, INC.",2023 registered House lobbyist
CR Federal,2023 registered House lobbyist
"Taft Stettinius & Hollister LLP dba Taft Advisors LLC fka (Taft, Stettinius & Hollister, LLP)",2023 registered House lobbyist
Best Best & Krieger LLP,2023 registered House lobbyist
Ice Miller LLP,2023 registered House lobbyist
"The Petrizzo Group, Inc.",2023 registered House lobbyist
TIGER HILL PARTNERS LLC,2023 registered House lobbyist
"MWR Strategies, Inc.",2023 registered House lobbyist
"ACTUM I, LLC",2023 registered House lobbyist
Invariant LLC,2023 registered House lobbyist
BOWERS HINMAN CAPITOL AFFAIRS,2023 registered House lobbyist
"Tarplin, Downs & Young, LLC",2023 registered House lobbyist
Watkins & Eager PLLC,2023 registered House lobbyist
"Health and Medicine Counsel, LLC",2023 registered House lobbyist
Forbes-Tate,2023 registered House lobbyist
BGR Government Affairs,2023 registered House lobbyist
SolarEdge Technologies Inc.,2023 registered House lobbyist
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",2023 registered House lobbyist
THE ANGLE,2023 registered House lobbyist
AKIN GUMP STRAUSS HAUER & FELD,2023 registered House lobbyist
Collective Strategies & Communications (formerly known as Collective Communicati,2023 registered House lobbyist
RYAN COSTELLO STRATEGIES,2023 registered House lobbyist
"PLURUS STRATEGIES, LLC",2023 registered House lobbyist
Ott Bielitzki & O'Neill PLLC,2023 registered House lobbyist
CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),2023 registered House lobbyist
VALOON LLC,2023 registered House lobbyist
"Team Subject Matter, LLC",2023 registered House lobbyist
"ZARRELLI STRATEGIES, INC.",2023 registered House lobbyist
Squire Patton Boggs,2023 registered House lobbyist
"Delany Advisory Group, LLC",2023 registered House lobbyist
BLUFF POINT STRATEGIES LLC,2023 registered House lobbyist
PATEL PARTNERS,2023 registered House lobbyist
"Whitmer & Worrall, LLC",2023 registered House lobbyist
Capitol 6 Advisors,2023 registered House lobbyist
"Capitol Core Group, Inc.",2023 registered House lobbyist
Huxley Rock LLC,2023 registered House lobbyist
BALLARD PARTNERS,2023 registered House lobbyist
"LONGBOW PUBLIC POLICY GROUP, LLC",2023 registered House lobbyist
DUNCAN & VIEHMAN STRATEGIES,2023 registered House lobbyist
HOLLAND & KNIGHT LLP,2023 registered House lobbyist
The Ferguson Group,2023 registered House lobbyist
"Mallard Consulting, LLC",2023 registered House lobbyist
DLA Piper LLP (US),2023 registered House lobbyist
"Strategics Consulting, LLC",2023 registered House lobbyist
"Center for AI Policy, Inc.",2023 registered House lobbyist
"CARPI & CLAY, INC.",2023 registered House lobbyist
"Capitol Resources, LLC",2023 registered House lobbyist
"CGCN GROUP, LLC",2023 registered House lobbyist
S-3 Group,2023 registered House lobbyist
PODESTA.COM,2023 registered House lobbyist
DALY CONSULTING GROUP,2023 registered House lobbyist
Advocacy Associates,2023 registered House lobbyist
"Miller Strategies, LLC",2023 registered House lobbyist
American Capitol Group,2023 registered House lobbyist
Todd Strategy Group,2023 registered House lobbyist
K&L GATES LLP,2023 registered House lobbyist
Arnold & Porter Kaye Scholer LLP,2023 registered House lobbyist
ABI ASSOCIATES,2023 registered House lobbyist
"AZ DC Consulting, LLC",2023 registered House lobbyist
J M Burkman & Associates,2023 registered House lobbyist
"GUIDE CONSULTING SERVICES, INC.",2023 registered House lobbyist
National Grocers Association,2023 registered House lobbyist
"Barker Leavitt, PLLC (SKA Mr. James C. Barker)",2023 registered House lobbyist
"KEEFE SINGISER PARTNERS, FKA Keefe Strategies LLC",2023 registered House lobbyist
CC Law & Policy,2023 registered House lobbyist
Carmen Group Incorporated,2023 registered House lobbyist
"ALASKA NATIVE CHAMBER, LLC",2023 registered House lobbyist
BLANK ROME GOVERNMENT RELATIONS,2023 registered House lobbyist
JEWISH WOMEN INTERNATIONAL,2023 registered House lobbyist
Winning Strategies Washington,2023 registered House lobbyist
Hogan Lovells US LLP,2023 registered House lobbyist
"Hannegan Landau Poersch & Rosenbaum Advocacy, LLC",2023 registered House lobbyist
"Combest, Sell & Associates, LLC",2023 registered House lobbyist
"Mercury Public Affairs, LLC",2023 registered House lobbyist
THE VOGEL GROUP,2023 registered House lobbyist
STANDARD INDUSTRIES,2023 registered House lobbyist
"TOM ALBERT CONSULTING, LLC",2023 registered House lobbyist
"Sims Strategies, LLC",2023 registered House lobbyist
"DiNino Associates, LLC",2023 registered House lobbyist
"JGB & Associates, LLC",2023 registered House lobbyist
"Crossroads Strategies, LLC",2023 registered House lobbyist
BCE CORPORATION PMC,2023 registered House lobbyist
"Ronald L. Book, P.A.",2023 registered House lobbyist
"AQUIA GROUP, LLC",2023 registered House lobbyist
Rosemont Group,2023 registered House lobbyist
Nelson Mullins Riley & Scarborough,2023 registered House lobbyist
A1.9 STRATEGIES LLC,2023 registered House lobbyist
"Becker & Poliakoff, P.A.",2023 registered House lobbyist
"Mehlman Consulting, Inc.",2023 registered House lobbyist
Covington & Burling LLP,2023 registered House lobbyist
"Williams and Jensen, PLLC",2023 registered House lobbyist
"McIntyre & Lemon, PLLC",2023 registered House lobbyist
HASHEMI STRATEGIC ADVISORS,2023 registered House lobbyist
ACORN CONSULTING,2023 registered House lobbyist
Neowise Corp.,2023 registered House lobbyist
DGSR LLC,2023 registered House lobbyist
"Capitol Decisions, Inc.",2023 registered House lobbyist
PIONEER PUBLIC AFFAIRS,2023 registered House lobbyist
"Manatt, Phelps, and Phillips",2023 registered House lobbyist
"Cornerstone Government Affairs, Inc.",2023 registered House lobbyist
Chamber Hill Strategies,2023 registered House lobbyist
"RK STRATEGIES, INC.",2023 registered House lobbyist
AO Development Company LLC,2023 registered House lobbyist
"Harbinger Strategies, LLC",2023 registered House lobbyist
"BARSA STRATEGIES, LLC",2023 registered House lobbyist
DEVRY UNIVERSITY,2023 registered House lobbyist
HJ TOBIN POLICY CONSULTING,2023 registered House lobbyist
"The Nickles Group, LLC",2023 registered House lobbyist
KELSAY STRATEGIES LLC,2023 registered House lobbyist
ALSTON & BIRD LLP,2023 registered House lobbyist
Baker & Hostetler LLP,2023 registered House lobbyist
"LSN PARTNERS, LLC",2023 registered House lobbyist
VENN STRATEGIES,2023 registered House lobbyist
"Jones Walker, LLP",2023 registered House lobbyist
"International Aviation Professionals, Teamsters Local Union No. 2750",2023 registered House lobbyist
"MAYNARD NEXSEN PC - FKA MAYNARD, COOPER & GALE, PC",2023 registered House lobbyist
"OPENAI OPCO, LLC",2023 registered House lobbyist
Colton Street Group,2023 registered House lobbyist
Capitol Counsel LLC,2023 registered House lobbyist
"Franklin Square Group, LLC",2023 registered House lobbyist
Tiber Creek Group,2023 registered House lobbyist
POLICY MATTERS LLC OF MASSACHUSETTS,2023 registered House lobbyist
The Jones Firm,2023 registered House lobbyist
Pillsbury Winthrop Shaw Pittman LLP,2023 registered House lobbyist
"GOVERNMENT RELATIONS GROUP, LLC",2023 registered House lobbyist
"Bromelkamp Government Relations, LLC",2023 registered House lobbyist
Conlon Public Strategies,2023 registered House lobbyist
"KED STRATEGIES, LLC",2023 registered House lobbyist
MODERN FORTIS LLC,2023 registered House lobbyist
9TH STREET STRATEGIES,2023 registered House lobbyist
Salem Media Group,2023 registered House lobbyist
"Venture Government Strategies, LLC (fka Hobart Hallaway & Quayle Ventures, LLC)",2023 registered House lobbyist
PHINIA INC.,2023 registered House lobbyist
"NVG, LLC",2023 registered House lobbyist
HORIZONS GLOBAL SOLUTIONS LLC,2023 registered House lobbyist
McGuireWoods Consulting (A Subsidiary of McGuireWoods LLP),2023 registered House lobbyist
The Washington Tax & Public Policy Group (formerly The Washington Tax Group),2023 registered House lobbyist
American Conservative Union,2023 registered House lobbyist
LIVE OAK STRATEGIES,2023 registered House lobbyist
"Davidoff Hutcher & Citron, LLP",2023 registered House lobbyist
ROSSLYN PARTNERS,2023 registered House lobbyist
"Gibson, Dunn & Crutcher, LLP",2023 registered House lobbyist
Kaplan Kirsch & Rockwell LLP,2023 registered House lobbyist
Bose Public Affairs Group,2023 registered House lobbyist
"TRADEWINS, LLC",2023 registered House lobbyist
"National Group, LLP",2023 registered House lobbyist
BOUNDARY STONE PARTNERS,2023 registered House lobbyist
"Mindset Advocacy, LLC",2023 registered House lobbyist
"Orrick, Herrington & Sutcliffe LLP",2023 registered House lobbyist
Brody Group L.L.C. Public Affairs,2023 registered House lobbyist
"REMITLY GLOBAL, INC.",2023 registered House lobbyist
RESOLUTE-DC,2023 registered House lobbyist
Alta Crest LLC,2023 registered House lobbyist
O'NEIL BRADLEY CONSULTING LLC,2023 registered House lobbyist
"Liberty Partners Group, LLC",2023 registered House lobbyist
"NEW LANTERN, LLC",2023 registered House lobbyist
"O'Keeffe Shahmoradi Strategies, LLC",2023 registered House lobbyist
Fidelis Government Relations,2023 registered House lobbyist
Las Vegas Public Radio Inc.,2023 registered House lobbyist
THE MCSWANE GROUP,2023 registered House lobbyist
FGS Global (US) LLC (FKA FGH Holdings LLC),2023 registered House lobbyist
"CONVENTUM GROUP, LLC",2023 registered House lobbyist
Larkin Hoffman,2023 registered House lobbyist
NORTHERN COMPASS GROUP LLC,2023 registered House lobbyist
Faegre Drinker Biddle & Reath LLP,2023 registered House lobbyist
Atlantic Strategies Group,2023 registered House lobbyist
Delta Strategy Group,2023 registered House lobbyist
Healthsperien,2023 registered House lobbyist
"The Livingston Group, LLC",2023 registered House lobbyist
"MODERNA, INC.",2023 registered House lobbyist
FTI Government Affairs,2023 registered House lobbyist
"Johnston Group, LLC",2023 registered House lobbyist
"Banner Public Affairs, LLC",2023 registered House lobbyist
"GALLANT GOVERNMENT & LAW GROUP, LLC",2023 registered House lobbyist
"Velocity Government Relations, LLC",2023 registered House lobbyist
"PORTERFIELD, FETTIG & SEARS, LLC",2023 registered House lobbyist
"CONTINENTAL STRATEGY, LLC",2023 registered House lobbyist
ASCEND CONSULTING,2023 registered House lobbyist
"Liebman & Associates, Inc.",2023 registered House lobbyist
Strategies 360,2023 registered House lobbyist
Kyle House Group,2023 registered House lobbyist
"OATLY, INC.",2023 registered House lobbyist
GrayRobinson PA,2023 registered House lobbyist
Chesapeake Enterprises,2023 registered House lobbyist
"ALPINE GROUP PARTNERS, LLC.",2023 registered House lobbyist
Alignment Government Strategies,2023 registered House lobbyist
"Water Strategies, LLC",2023 registered House lobbyist
KILEY & ASSOCIATES,2023 registered House lobbyist
"Bluestone Strategies, LLC",2023 registered House lobbyist
Michael Best Strategies LLC,2023 registered House lobbyist
Terrapin Strategy Inc.,2023 registered House lobbyist
"MARCUS G. FAUST, PC",2023 registered House lobbyist
LINCOLN PARK GROUP L.L.C.,2023 registered House lobbyist
STRATEGIC PRINCIPLES LLC,2023 registered House lobbyist
"Jim Massie & Partners, LLC",2023 registered House lobbyist
Venable LLP,2023 registered House lobbyist
UPTOWN SOLUTIONS LLC,2023 registered House lobbyist
Bracewell LLP,2023 registered House lobbyist
"Gray Global Advisors, LLC",2023 registered House lobbyist
Barnes & Thornburg LLP,2023 registered House lobbyist
Smits Speidell Consulting,2023 registered House lobbyist
Natural Resource Results LLC,2023 registered House lobbyist
FS VECTOR LLC,2023 registered House lobbyist
"Bell & Lindsay, Inc.",2023 registered House lobbyist
"Global Medical Response, Inc.",2023 registered House lobbyist
ACG Advocacy,2023 registered House lobbyist
Travel Tech: The Travel Technology Association,2023 registered House lobbyist
Kilpatrick Townsend Stockton LLP,2023 registered House lobbyist
"GLAZE CONSULTING, LLC",2023 registered House lobbyist
Ms. Michelle Nawar,2023 registered House lobbyist
"Porter Group, LLC",2023 registered House lobbyist
FDJ Solutions LLC,2023 registered House lobbyist
Wilmer Cutler Pickering Hale and Dorr LLP,2023 registered House lobbyist
"VNF Solutions, LLC",2023 registered House lobbyist
"1607 STRATEGIES, LLC",2023 registered House lobbyist
JTR STRATEGIES LLC,2023 registered House lobbyist
Capitol Meteorologics,2023 registered House lobbyist
"MORAN GLOBAL STRATEGIES, INC.",2023 registered House lobbyist
KAIROS GOVERNMENT AFFAIRS,2023 registered House lobbyist
McDermott+Consulting LLC,2023 registered House lobbyist
JENNER & BLOCK LLP,2023 registered House lobbyist
GWC PUBLIC AFFAIRS LLC,2023 registered House lobbyist
"Olsson, Frank, Weeda, Terman & Matz, PC",2023 registered House lobbyist
Foley & Lardner LLP,2023 registered House lobbyist
MML&K Government Solutions,2023 registered House lobbyist
Silver Legal Services LLC,2023 registered House lobbyist
"Bramer Group, LLC",2023 registered House lobbyist
VECTIS DC,2023 registered House lobbyist
"Adams and Reese, LLP",2023 registered House lobbyist
Steptoe & Johnson LLP,2023 registered House lobbyist
GROUNDSWELL STRATEGY LLC,2023 registered House lobbyist
The Raben Group,2023 registered House lobbyist
"Rasky Partners, Inc.",2023 registered House lobbyist
"North Star Strategies, LLC",2023 registered House lobbyist
J.A. Green and Company (formerly LLC),2023 registered House lobbyist
Strategic Marketing Innovations,2023 registered House lobbyist
CONTEXT LABS BV,2023 registered House lobbyist
Smith Dawson & Andrews,2023 registered House lobbyist
"McAllister & Quinn, LLC",2023 registered House lobbyist
LOT SIXTEEN LLC,2023 registered House lobbyist
MZLS LLC,2023 registered House lobbyist
Monument Advocacy,2023 registered House lobbyist
"Forward Global (FKA AVISA PARTNERS US, INC.)",2023 registered House lobbyist
KELLER PARTNERS & COMPANY,2023 registered House lobbyist
Townsend Public Affairs,2023 registered House lobbyist
"W Strategies, LLC",2023 registered House lobbyist
"ELEVATE GOVERNMENT AFFAIRS, LLC",2023 registered House lobbyist
McCaulley&Company,2023 registered House lobbyist
PRIME POLICY GROUP,2023 registered House lobbyist
"National Health Advisors, LLC",2023 registered House lobbyist
FULCRUM PUBLIC AFFAIRS LLC,2023 registered House lobbyist
West Front Strategies LLC,2023 registered House lobbyist
"MUSEUM OF SCIENCE, BOSTON",2023 registered House lobbyist
WINDON GLOBAL STRATEGIES,2023 registered House lobbyist
Center Road Solutions,2023 registered House lobbyist
JEFFREY J. KIMBELL AND ASSOCIATES,2023 registered House lobbyist
"Commonwealth Strategic Partners, LLC",2023 registered House lobbyist
"DeBrunner & Associates, Inc.",2023 registered House lobbyist
Waller Consulting LLC,2023 registered House lobbyist
Federal Business Group,2023 registered House lobbyist
Emergent Strategies,2023 registered House lobbyist
American Traffic Safety Services  Association,2023 registered House lobbyist
Rampy Northrup LLC,2023 registered House lobbyist
HANCE SCARBOROUGH,2023 registered House lobbyist
"Townsend Public Affairs, Inc",2023 registered House lobbyist
"RESTON STRATEGY GROUP, LLC",2023 registered House lobbyist
"M.J. Simon & Company, LLC",2023 registered House lobbyist
MCWILLIAMS GOVERNMENTAL AFFAIRS CONSULTANTS,2023 registered House lobbyist
Vision Americas LLC,2023 registered House lobbyist
PASSAGE CONSULTING GROUP LLC,2023 registered House lobbyist
"BOCKORNY GROUP, INC.",2023 registered House lobbyist
Thorn Run Partners,2023 registered House lobbyist
"HEALTH POLICY SOURCE, INC.",2023 registered House lobbyist
"Active Policy Solutions, LLC",2023 registered House lobbyist
"HARBOR POLICY, LLC",2023 registered House lobbyist
"Tonio Burgos & Associates, Inc.",2023 registered House lobbyist
OnMessage Public Strategies,2023 registered House lobbyist
Cozen O'Connor Public Strategies,2023 registered House lobbyist
GLOBAL PROSPECTS LLC,2023 registered House lobbyist
Congressional Partners,2023 registered House lobbyist
BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,2023 registered House lobbyist
PACIFIC PARTNERS,2023 registered House lobbyist
KMA ZUCKERT LLC,2023 registered House lobbyist
COLUMBIA RIVERKEEPER,2023 registered House lobbyist
"INNOVATIVE FEDERAL STRATEGIES, LLC",2023 registered House lobbyist
"MASON STREET CONSULTING, LLC",2023 registered House lobbyist
Winston & Strawn LLP,2023 registered House lobbyist
"The Complete Agency (formerly Pearson & Associates, LLC)",2023 registered House lobbyist
The Duberstein Group Inc.,2023 registered House lobbyist
VOL. 1 VENTURES,2023 registered House lobbyist
"Lone Star Consulting, LLC",2023 registered House lobbyist
Mr. Joe Miklosi,2023 registered House lobbyist
"PYXIS PARTNERS, LLC",2023 registered House lobbyist
The Consilio Group,2023 registered House lobbyist
"Cassidy & Associates, Inc.",2023 registered House lobbyist
"The McKeon Group, Inc.",2023 registered House lobbyist
"Alva Elliott Partners, LLC",2023 registered House lobbyist
Crosswinds Solutions,2023 registered House lobbyist
"RUBIN, TURNBULL & ASSOCIATES",2023 registered House lobbyist
"Team Subject Matter, LLC (fra Subject Matter)",2023 registered House lobbyist
"The Majority Group, LLC",2023 registered House lobbyist
"CENTER FOR AI SAFETY ACTION FUND, INC.",2023 registered House lobbyist
"THE 51 GROUP, LLC",2023 registered House lobbyist
WuXi AppTec Sales LLC,2023 registered House lobbyist
Mr. Brian Dearing,2023 registered House lobbyist
"AnnDyl Policy Group, LLC",2023 registered House lobbyist
PAUL HASTINGS LLP,2023 registered House lobbyist
Capitol Hill Consulting Group,2023 registered House lobbyist
"Bridge Street Group, LLC",2023 registered House lobbyist
HANWHA Q CELLS AMERICA INC.,2023 registered House lobbyist
Majority Action,2023 registered House lobbyist
"Stapleton & Associates, LLC",2023 registered House lobbyist
"Capitol Strategies US, LLC",2023 registered House lobbyist
The O Team LLC,2023 registered House lobbyist
BLOUNT STRATEGIC INITIATIVES,2023 registered House lobbyist
Off Hill Strategies L.L.C.,2023 registered House lobbyist
Mayer Brown LLP,2023 registered House lobbyist
"Village Practice Management Company Holdings, LLC",2023 registered House lobbyist
G2G Consulting,2023 registered House lobbyist
"COLON GOVERNMENT AFFAIRS, LLC",2023 registered House lobbyist
"O'Brien, Gentry & Scott, LLC",2023 registered House lobbyist
The Bridge Advisory Group,2023 registered House lobbyist
Armory Hill Advocates (formerly known as Rawlson Policy Group),2023 registered House lobbyist
"TheGROUP DC, LLC",2023 registered House lobbyist
"Lewis-Burke Associates, LLC",2023 registered House lobbyist
"CJ Lake, LLC",2023 registered House lobbyist
Ogilvy Government Relations,2023 registered House lobbyist
Horizon Government Affairs,2023 registered House lobbyist
FEROX STRATEGIES,2023 registered House lobbyist
"Jamison and Sullivan, Inc.",2023 registered House lobbyist
"Klein Law Group, PLLC",2023 registered House lobbyist
"The Smith-Free Group, LLC",2023 registered House lobbyist
Sternhell Group,2023 registered House lobbyist
Washington Strategic Consulting,2023 registered House lobbyist
"Powers Pyles Sutter & Verville, P.C.",2023 registered House lobbyist
"S. Vaca & Associates, LLC",2023 registered House lobbyist
"TEN GOVERNMENT STRATEGIES, LLC",2023 registered House lobbyist
"RESOLUTION PUBLIC AFFAIRS, LLC",2023 registered House lobbyist
"Icebreaker Strategies, LLC",2023 registered House lobbyist
"TROUTMAN PEPPER STRATEGIES, LLC (fkaTROUTMAN SANDERS PUBLIC AFFAIRS GROUP, LLC)",2023 registered House lobbyist
"BISCAYNE STRATEGIES, LLC",2023 registered House lobbyist
"LAURA WOOD PETERSON CONSULTING, INC.",2023 registered House lobbyist
VARYAG LLC,2023 registered House lobbyist
FILANTHROPIE CONSULTANCY,2023 registered House lobbyist
"TOKYO ELECTRON U.S. HOLDINGS, INC.",2023 registered House lobbyist
Committee to Protect Health Care,2023 registered House lobbyist
Sustainable Strategies DC,2023 registered House lobbyist
"Public Strategies Washington, Inc.",2023 registered House lobbyist
Public Knowledge,2023 registered House lobbyist
ArentFox Schiff LLP,2023 registered House lobbyist
"BRIDGEBIO PHARMA, INC.",2023 registered House lobbyist
NATIONAL PARENTS UNION ACTION FUND INC.,2023 registered House lobbyist
"SANDLER, TRAVIS & ROSENBERG, P.A.",2023 registered House lobbyist
SALT POINT STRATEGIES,2023 registered House lobbyist
Hollier & Associates,2023 registered House lobbyist
"View, Inc.",2023 registered House lobbyist
McCarthy Strategic Solutions,2023 registered House lobbyist
Ben Barnes Group LP,2023 registered House lobbyist
"Allegiance Strategies, LLC",2023 registered House lobbyist
Velos (Formerly Pinnacle Engineering and Management Solutions),2023 registered House lobbyist
Electronic Payments Coalition Inc.,2023 registered House lobbyist
Corrigan & Ussery LLC,2023 registered House lobbyist
DRUMMOND WOODSUM STRATEGIC CONSULTING LLC,2023 registered House lobbyist
"CAPITOL SOUTH, LLC",2023 registered House lobbyist
Lobbyit.com,2023 registered House lobbyist
GABBERT CONSULTING CO LLC,2023 registered House lobbyist
"Summit Ridge Energy, LLC",2023 registered House lobbyist
KYOCERA AVX COMPONENTS CORPORATION,2023 registered House lobbyist
STONINGTON GLOBAL,2023 registered House lobbyist
"LEGO Systems, Inc.",2023 registered House lobbyist
"Capitol Tax Partners, LLP",2023 registered House lobbyist
John C. Snyder III,2023 registered House lobbyist
"Welsh Rose, LLC",2023 registered House lobbyist
Rich Feuer Anderson,2023 registered House lobbyist
"Hall, Render, Killian, Heath & Lyman, P.C.",2023 registered House lobbyist
Ernst & Young LLP (Washington Council Ernst & Young),2023 registered House lobbyist
"535 GROUP, LLC",2023 registered House lobbyist
Ms. Marla Grossman,2023 registered House lobbyist
"Dutko Worldwide, LLC",2023 registered House lobbyist
METANOIC STRATEGIES,2023 registered House lobbyist
Crowell & Moring LLP,2023 registered House lobbyist
THE KPM GROUP DC LLC,2023 registered House lobbyist
