Committee ID,Committee FEC Name,Associated candidate and district,112th-118th Congress: Number of Life at Conception cosponsorships,Life at Conception 118th Congress cosponsor,Life at Conception 117th Congress cosponsor,Life at Conception 116th Congress cosponsor,Life at Conception 115th Congress cosponsor,Life at Conception 114th Congress cosponsor,Life at Conception 113th Congress cosponsor,Life at Conception 112th Congress cosponsor,Voted against certifying 2020 election,RSC Member,Voted to repeal ACA (American Health Care Act),PACT Act,Mifepristone amicus brief,Election overturn amicus brief,Voted against Bipartisan Infrastructure Law,Voted against the PRO Act,Voted for Tax Cuts and Jobs Act,Voted against Inflation Reduction Act
C00816751,IT MATTERS WHO LEADS PAC,Andy Ogles (TN-05),1,1,,,,,,,,1,,,1,,,,,
C00811844,ANDY OGLES FOR CONGRESS,Andy Ogles (TN-05),1,1,,,,,,,,1,,,1,,,,,
C00528414,HEALTHCARE FREEDOM FUND,David Roe (former TN-01),5,,,1,1,1,1,1,,,1,,,,,,1,
C00444471,CITIZENS TO ELECT PHIL ROE TO CONGRESS,David Roe (former TN-01),5,,,1,1,1,1,1,,,1,,,,,,1,
C00697698,REPUBLICANS OFFERING SOLUTIONS FOR EVERYONE PAC,John Rose (TN-06),3,1,1,1,,,,,1,1,,1,1,1,1,1,,1
C00652743,JOHN ROSE FOR TENNESSEE,John Rose (TN-06),3,1,1,1,,,,,1,1,,1,1,1,1,1,,1
C00672733,BULLDOG PAC,Jodey Arrington (TX-19),4,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1
C00588657,TEXANS FOR JODEY ARRINGTON,Jodey Arrington (TX-19),4,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1
C00589994,BUILDING RENEWAL IN AMERICA NOW PAC,Brian Babin (TX-36),5,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,1
C00553859,DR. BRIAN BABIN FOR CONGRESS,Brian Babin (TX-36),5,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,1
C00195065,THE CONGRESSMAN JOE BARTON COMMITTEE,Joe Barton (former TX-06),4,,,,1,1,1,1,,,1,,,,,,1,
C00340661,TEXAS FREEDOM FUND,Joe Barton (former TX-06),4,,,,1,1,1,1,,,1,,,,,,1,
C00445379,MAKING AMERICA PROSPEROUS PAC,Kevin Brady (TX-08),6,,1,1,1,1,1,1,,,1,,,1,1,1,1,1
C00311043,BRADY FOR CONGRESS,Kevin Brady (TX-08),6,,1,1,1,1,1,1,,,1,,,1,1,1,1,1
C00415208,LONE STAR LEADERSHIP PAC,Michael C. Burgess (TX-26),6,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
C00372532,MICHAEL BURGESS FOR CONGRESS,Michael C. Burgess (TX-26),6,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
C00394353,CANSECO FOR CONGRESS,Francisco Canseco (former TX-23),1,,,,,,,1,,,,,,,,,,
C00427401,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,John R. Carter (TX-31),7,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1
C00371203,JOHN CARTER FOR CONGRESS,John R. Carter (TX-31),7,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1
C00729616,CITY ON A HILL PAC,Michael Cloud (TX-27),3,1,1,1,,,,,1,1,,,1,1,1,1,,1
C00655332,CLOUD FOR CONGRESS,Michael Cloud (TX-27),3,1,1,1,,,,,1,1,,,1,1,1,1,,1
C00383828,CONAWAY FOR CONGRESS,Michael Conaway (former TX-11),4,,,1,1,1,1,,,,1,,,1,,,1,
C00409458,CONSERVATIVE OPPORTUNITIES FOR A NEW AMERICA PAC,Michael Conaway (former TX-11),4,,,1,1,1,1,,,,1,,,1,,,1,
C00686816,AMERICA RELOADED,Dan Crenshaw (TX-02),0,,,,,,,,,1,,,1,1,1,1,,1
C00660795,DAN CRENSHAW FOR CONGRESS,Dan Crenshaw (TX-02),0,,,,,,,,,1,,,1,1,1,1,,1
C00343236,CULBERSON FOR CONGRESS,John Culberson (TX),0,,,,,,,,,,1,,,,,,1,
C00588749,LET TEXANS RUN TEXAS PAC,John Culberson (TX),0,,,,,,,,,,1,,,,,,1,
C00808717,KEEP TEXAS TEXAS PAC,Monica De La Cruz (TX-15),0,,,,,,,,,1,,,,,,,,
C00765719,MONICA FOR CONGRESS,Monica De La Cruz (TX-15),0,,,,,,,,,1,,,,,,,,
C00775858,DE LA CRUZ FOR TX-15,Monica De La Cruz (TX-15),0,,,,,,,,,1,,,,,,,,
C00786368,31 DAYS PAC,Jake Ellzey (TX-06),2,1,1,,,,,,,1,,,1,,1,,,1
C00770438,JAKE ELLZEY FOR CONGRESS,Jake Ellzey (TX-06),2,1,1,,,,,,,1,,,1,,1,,,1
C00758722,PATRIOTS ALWAYS TRIUMPH,Pat Fallon (TX-04),2,1,1,,,,,,1,1,,,,,1,1,,1
C00750307,FALLON FOR CONGRESS,Pat Fallon (TX-04),2,1,1,,,,,,1,1,,,,,1,1,,1
C00529834,BRIGHTER FUTURES PAC (BF PAC),Blake Farenthold (former TX-27),4,,,,1,1,1,1,,,1,,,,,,1,
C00473736,ELECT BLAKE FARENTHOLD COMMITTEE,Blake Farenthold (former TX-27),4,,,,1,1,1,1,,,1,,,,,,1,
C00472241,BILL FLORES FOR CONGRESS,Bill Flores (former TX-17),5,,,1,1,1,1,1,,,1,,,1,,,1,
C00527275,BILL PAC,Bill Flores (former TX-17),5,,,1,1,1,1,1,,,1,,,1,,,1,
C00819854,EL SUENO AMERICANO,Mayra Flores (formerly TX-34),1,,1,,,,,,,,,,,,,,,1
C00768994,MAYRA FLORES FOR CONGRESS,Mayra Flores (formerly TX-34),1,,1,,,,,,,,,,,,,,,1
C00386532,LOUIE GOHMERT FOR CONGRESS COMMITTEE,Louie Gohmert (former TX-01),5,,1,1,1,1,1,,1,,1,,,1,1,1,1,1
C00528596,GROW OUR HOUSE PAC,Louie Gohmert (former TX-01),5,,1,1,1,1,1,,1,,1,,,1,1,1,1,1
C00755173,HONOR COURAGE COMMITMENT PAC,Tony Gonzales (TX-23),2,1,1,,,,,,,1,,,1,,1,1,,1
C00706614,TONY GONZALES FOR CONGRESS,Tony Gonzales (TX-23),2,1,1,,,,,,,1,,,1,,1,1,,1
C00685115,GROWING OUR OWN DYNAMIC ECONOMY NOW,Lance Gooden (TX-05),3,1,1,1,,,,,1,1,,1,1,1,1,1,,1
C00662601,LANCE GOODEN FOR CONGRESS COMMITTEE,Lance Gooden (TX-05),3,1,1,1,,,,,1,1,,1,1,1,1,1,,1
C00345058,COMMON SENSE COMMON SOLUTIONS POLITICAL ACTION COMMITTEE,Kay Granger (TX-12),1,,,1,,,,,,1,1,1,,,1,1,1,1
C00310532,KAY GRANGER CAMPAIGN FUND,Kay Granger (TX-12),1,,,1,,,,,,1,1,1,,,1,1,1,1
C00120683,"HALL FOR CONGRESS COMMITTEE (RALPH HALL - ROCKWALL, TEXAS)",Ralph Hall (former TX-04),2,,,,,,1,1,,,,,,,,,,
C00370650,FRIENDS OF JEB HENSARLING,Jeb Hensarling (TX),0,,,,,,,,,,1,,,,,,1,
C00420695,"JOBS, ECONOMY AND BUDGET FUND (JEB FUND)",Jeb Hensarling (TX),0,,,,,,,,,,1,,,,,,1,
C00807412,HELLFIRE PAC,Wesley Hunt (TX-38),1,1,,,,,,,,,,,,,,,,
C00701003,HUNT FOR CONGRESS,Wesley Hunt (TX-38),1,1,,,,,,,,,,,,,,,,
C00798306,HUNT FOR TX-38,Wesley Hunt (TX-38),1,1,,,,,,,,,,,,,,,,
C00605212,HAVING UNWAVERING RESOLVE AND DETERMINATION PAC,Y,,,,,,,,,,,,,,,,,,
C00545467,HURD FOR CONGRESS,WiIliam Hurd (former TX-23),,,,,,,,,,,,,,,,,1,
C00753384,TEXAS RED,Ronny Jackson (TX-13),2,1,1,,,,,,1,1,,1,1,,1,1,,1
C00730531,TEXANS FOR RONNY JACKSON,Ronny Jackson (TX-13),2,1,1,,,,,,1,1,,1,1,,1,1,,1
C00250720,FRIENDS OF SAM JOHNSON,Sam Johnson (former TX-03),4,,,,1,1,1,1,,,1,,,,,,1,
C00345702,SECURE AMERICA'S MAJORITY PAC,Sam Johnson (former TX-03),4,,,,1,1,1,1,,,1,,,,,,1,
C00813162,NO EASY DAY PAC,Morgan Luttrell (TX-08),1,1,,,,,,,,1,,,,,,,,
C00781112,TEXANS FOR MORGAN LUTTRELL,Morgan Luttrell (TX-08),1,1,,,,,,,,1,,,,,,,,
C00393348,KENNY MARCHANT FOR CONGRESS,Kenny Marchant (former TX-24),5,,,1,1,1,1,1,,,1,,,1,,,1,
C00594473,KEN PAC,Kenny Marchant (former TX-24),5,,,1,1,1,1,1,,,1,,,1,,,1,
C00481531,TEXAS REPUBLICANS UNITED POLITICAL ACTION COMMITTEE (TRU PAC),Michael McCaul (TX-10),5,,1,1,1,,1,1,,1,1,,,,1,1,1,1
C00392688,"MCCAUL FOR CONGRESS, INC",Michael McCaul (TX-10),5,,1,1,1,,1,1,,1,1,,,,1,1,1,1
C00812586,FIRST IN TEXAS PAC,Nathaniel Moran (TX-01),1,1,,,,,,,,1,,,1,,,,,
C00796086,NATHANIEL MORAN FOR CONGRESS,Nathaniel Moran (TX-01),1,1,,,,,,,,1,,,1,,,,,
C00757120,NOW ELECTING HONEST LEADERSHIP AND SERVICE PAC,Troy Nehls (TX-22),1,,1,,,,,,1,1,,1,,,1,1,,1
C00730150,NEHLS FOR CONGRESS,Troy Nehls (TX-22),1,,1,,,,,,1,1,,1,,,1,1,,1
C00384016,NEUGEBAUER CONGRESSIONAL COMMITTEE,Randy Neugebauer (former TX-19),3,,,,,1,1,1,,,,,,,,,,
C00446625,LIBERTY PROJECT,Randy Neugebauer (former TX-19),3,,,,,1,1,1,,,,,,,,,,
C00437913,OLSON FOR CONGRESS COMMITTEE,Pete Olson (former TX-22),5,,,1,1,1,1,1,,,1,,,,,,1,
C00491910,FREEDOM MATTERS PAC,Pete Olson (former TX-22),5,,,1,1,1,1,1,,,1,,,,,,1,
C00392670,POE FOR CONGRESS,Ted Poe (former TX-02),3,,,,1,1,1,,,,1,,,,,,1,
C00749481,RAPTOR PAC,August Pfluger (TX-11),2,1,1,,,,,,1,1,,1,1,,1,1,,1
C00719294,AUGUST PFLUGER FOR CONGRESS,August Pfluger (TX-11),2,1,1,,,,,,1,1,,1,1,,1,1,,1
C00554113,RATCLIFFE FOR CONGRESS,John Ratcliffe (former TX-04),3,,,1,1,1,,,,,1,,,,,,1,
C00627661,LONE STAR LIBERTY FUND,John Ratcliffe (former TX-04),3,,,1,1,1,,,,,1,,,,,,1,
C00693895,COME AND TAKE IT POLITICAL ACTION COMMITTEE,Chip Roy (TX-21),2,,1,1,,,,,,1,,1,,,1,1,,1
C00662767,CHIP ROY FOR CONGRESS,Chip Roy (TX-21),2,,1,1,,,,,,1,,1,,,1,1,,1
C00791293,SELF FOR CONGRESS,Keith Self (TX-03),1,1,,,,,,,,1,,,,,,,,
C00821959,ALL AMERICAN PAC,Keith Self (TX-03),1,1,,,,,,,,1,,,,,,,,
C00303305,PETE SESSIONS FOR CONGRESS,Pete Sessions (TX-17),5,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,1
C00363770,PEOPLE FOR ENTERPRISE TRADE AND ECONOMIC GROWTH (PETE PAC),Pete Sessions (TX-17),5,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,1
C00197160,TEXANS FOR LAMAR SMITH,Lamar Smith (TX),0,,,,,,,,,,1,,,,,,,
C00402602,LONGHORN PAC,Lamar Smith (TX),0,,,,,,,,,,1,,,,,,,
C00518241,FRIENDS OF CONGRESSMAN STEVE STOCKMAN,Steve Stockman (former TX-36),1,,,,,,1,,,,,,,,,,,
C00692087,VICTORY AND NATION PAC,Van Taylor (TX),0,,,,,,,,,,,1,,,1,1,1,1
C00653634,VAN TAYLOR CAMPAIGN,Van Taylor (TX),0,,,,,,,,,,,1,,,1,1,1,1
C00286187,THORNBERRY FOR CONGRESS COMMITTEE,Mac Thornberry (TX),0,,,,,,,,,,1,,,,,,1,
C00404418,STAND TALL AMERICA PAC (STAPAC),Mac Thornberry (TX),0,,,,,,,,,,1,,,,,,1,
C00762930,BE VICTORIOUS OVER DEMOCRATS PAC,Beth Van Duyne (TX-24),2,1,1,,,,,,1,1,,,1,,1,1,,1
C00714865,BETH VAN DUYNE FOR CONGRESS,Beth Van Duyne (TX-24),2,1,1,,,,,,1,1,,,1,,1,1,,1
C00553883,BUILDING AMERICAN CONSERVATISM PAC,Randy Weber (TX-14),6,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
C00502229,WEBER FOR CONGRESS,Randy Weber (TX-14),6,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
C00531590,PATRIOTS IN ACTION,Roger Williams (TX-25),4,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1
C00498121,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,Roger Williams (TX-25),4,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1
C00662171,RON WRIGHT FOR CONGRESS,Ron Wright (former TX-06),1,,,1,,,,,1,,,,,1,,,,
C00763789,REPUBLICANS OFFER NEW SOLUTIONS PAC,Ron Wright (former TX-06),1,,,1,,,,,1,,,,,1,,,,
C00374231,ROB BISHOP FOR CONGRESS,Rob Bishop (former UT-01),4,,,1,1,1,,1,,,1,,,,,,1,
C00452771,PIONEER PAC,Rob Bishop (former UT-01),4,,,1,1,1,,1,,,1,,,,,,1,
C00431684,FRIENDS OF JASON CHAFFETZ,Jason Chaffetz (former UT-03),2,,,,,1,1,,,,,,,,,,,
C00431684,FRIENDS OF CHAFFETZ,Jason Chaffetz (former UT-03),2,,,,,1,1,,,,,,,,,,,
C00491183,AMERICAN VICTORY PAC,Jason Chaffetz (former UT-03),2,,,,,1,1,,,,,,,,,,,
C00654186,CONSERVATIVE CLIMATE PAC,John Curtis (UT-03),0,,,,,,,,,1,1,1,1,,1,1,1,1
C00647339,CURTIS FOR CONGRESS,John Curtis (UT-03),0,,,,,,,,,1,1,1,1,,1,1,1,1
C00505776,FRIENDS OF MIA LOVE,Mia Love (former UT-04),2,,,,1,1,,,,,1,,,,,,1,
C00541680,"LIMITED GOVERNMENT, OPPORTUNITY AND VALUES PAC (LOV PAC)",Mia Love (former UT-04),2,,,,1,1,,,,,1,,,,,,1,
C00738872,BLAKE MOORE FOR CONGRESS,Blake Moore (UT-01),1,,1,,,,,,,1,,1,1,,1,1,,1
C00769125,DREAM BIG PAC,Burgess Owens (UT-04),2,1,1,,,,,,1,1,,1,,,1,1,,1
C00725853,BURGESS 4 UTAH,Burgess Owens (UT-04),2,1,1,,,,,,1,1,,1,,,1,1,,1
C00571521,FREEDOM 21: FIGHTING FOR FREEDOM IN THE 21ST CENTURY,Chris Stewart (former UT-02),2,,,,,1,1,,1,1,1,1,,,1,1,1,1
C00506931,"FRIENDS FOR CHRIS STEWART, INC.",Chris Stewart (former UT-02),2,,,,,1,1,,1,1,1,1,,,1,1,1,1
C00588335,BUILDING AND RESTORING AMERICA TOGETHER POLITICAL ACTION COMMITTEE,Dave Brat (former VA-07),1,,,,,1,,,,,1,,,,,,1,
C00554949,FRIENDS OF DAVE BRAT INC.,Dave Brat (former VA-07),1,,,,,1,,,,,1,,,,,,1,
C00798025,CONSERVATIVE LEADERSHIP IN ELECTIONS PAC,Ben Cline (VA-06),3,1,1,1,,,,,1,1,,,1,1,1,1,,1
C00661561,"BEN CLINE FOR CONGRESS, INC.",Ben Cline (VA-06),3,1,1,1,,,,,1,1,,,1,1,1,1,,1
C00585554,NOVA POLITICAL ACTION COMMITTEE,Barbara Comstock (former VA-10),,,,,,,,,,,,,,,,,1,
C00554261,COMSTOCK FOR CONGRESS,Barbara Comstock (former VA-10),,,,,,,,,,,,,,,,,1,
C00365692,FORBES FOR CONGRESS,J. Randy Forbes (former VA-04),3,,,,,1,1,1,,,,,,,,,,
C00388223,CONSERVATIVE LEADERSHIP FUND,J. Randy Forbes (former VA-04),3,,,,,1,1,1,,,,,,,,,,
C00607101,TOM GARRETT FOR CONGRESS,Thomas Garrett (former VA-05),1,,,,1,,,,,,1,,,,,,1,
C00721308,GOOD FOR CONGRESS,Bob Good (VA-05),2,1,1,,,,,,1,1,,1,1,,1,1,,1
C00801993,VA CONSERVATIVE LEADERSHIP FUND,Bob Good (VA-05),2,1,1,,,,,,1,1,,1,1,,1,1,,1
C00257956,BOB GOODLATTE FOR CONGRESS COMMITTEE,Goodlatte (VA),2,,,,,,1,1,,,1,,,,,,1,
C00409185,THE GOOD FUND,Goodlatte (VA),2,,,,,,1,1,,,1,,,,,,1,
C00520841,FIGHTIN' NINTH POLITICAL ACTION COMMITTEE,Morgan Griffith (VA-09),0,,,,,,,,1,,1,1,,1,1,1,1,1
C00477240,MORGAN GRIFFITH FOR CONGRESS,Morgan Griffith (VA-09),0,,,,,,,,1,,1,1,,1,1,1,1,1
C00496323,HELP UNITE REPUBLICANS TODAY POLITICAL ACTION COMMITTEE,Robert Hurt (former VA-05),3,,,,,1,1,1,,,,,,,,,,
C00468405,ROBERT HURT FOR CONGRESS,Robert Hurt (former VA-05),3,,,,,1,1,1,,,,,,,,,,
C00463687,SCOTT RIGELL FOR CONGRESS,Scott Rigell (former VA-02),1,,,,,,,1,,,,,,,,,,
C00503581,BETTER LEADERSHIP - BETTER AMERICA PAC,Scott Rigell (former VA-02),1,,,,,,,1,,,,,,,,,,
C00733394,TAYLOR FOR CONGRESS 2020,Taylor (VA),0,,,,,,,,,,1,,,,,,,
C00702910,TAYLOR FOR VA-02,Taylor (VA),0,,,,,,,,,,1,,,,,,,
C00608703,SCOTT TAYLOR FOR CONGRESS,Taylor (VA),0,,,,,,,,,,1,,,,,,,
C00524314,AMERICA'S FIRST PAC,Robert J. Wittman (VA-01),5,,1,1,,1,1,1,1,1,1,,,1,1,1,1,1
C00441014,ROB WITTMAN FOR CONGRESS,Robert J. Wittman (VA-01),5,,1,1,,1,1,1,1,1,1,,,1,1,1,1,1
C00390476,CATHY MCMORRIS RODGERS FOR CONGRESS,Cathy McMorris Rodgers (WA-05),3,1,1,1,,,,,,1,1,1,,1,1,1,1,1
C00469429,CMR POLITICAL ACTION COMMITTEE,Cathy McMorris Rodgers (WA-05),3,1,1,1,,,,,,1,1,1,,1,1,1,1,1
C00611400,NEW ENERGY IN WASHINGTON HOUSE PAC (N.E.W. HOUSE PAC),Dan Newhouse (WA-04),4,,1,1,1,1,,,,1,,,,1,1,1,1,1
C00559393,DAN NEWHOUSE FOR CONGRESS,Dan Newhouse (WA-04),4,,1,1,1,1,,,,1,,,,1,1,1,1,1
C00521310,LIBERTY FUND; THE,Jaime Herrera Beutler (formerly WA-03),6,,1,1,1,1,1,1,,,,,,,1,1,1,1
C00472704,JAIME FOR CONGRESS,Jaime Herrera Beutler (formerly WA-03),6,,1,1,1,1,1,1,,,,,,,1,1,1,1
C00474841,SHERIFF PAC,Dave Reichert (former WA-08),,,,,,,,,,,,,,,,,1,
C00397737,FRIENDS OF DAVE REICHERT,Dave Reichert (former WA-08),,,,,,,,,,,,,,,,,1,
C00548271,JENKINS FOR CONGRESS,Evan Jenkins (former WV-03),2,,,,1,1,,,,,1,,,,,,1,
C00619585,MOUNTAIN STATE VICTORY PAC,Evan Jenkins (former WV-03),2,,,,1,1,,,,,1,,,,,,1,
C00540393,DBM PAC,David McKinley (formerly WV-01),3,,1,,1,1,,,,,1,,,,,1,1,1
C00473132,MCKINLEY FOR CONGRESS,David McKinley (formerly WV-01),4,,1,1,1,1,,,,,1,,,,,1,1,1
C00691626,CUT THE BULL PAC,Carol Miller (WV-01),3,1,1,1,,,,,1,,,,1,1,1,1,,1
C00653220,CAROL FOR CONGRESS,Carol Miller (WV-01),3,1,1,1,,,,,1,,,,1,1,1,1,,1
C00641142,AMERICANS FOR LEGISLATING EXCELLENCE PAC,Alexander X. Mooney (WV-02),5,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
C00768705,MOONEY FOR CONGRESS 2022,Alexander X. Mooney (WV-02),5,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
C00629949,ALEX MOONEY FOR CONGRESS,Alexander X. Mooney (WV-02),5,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
C00464339,DUFFY FOR WISCONSIN,Sean Duffy (WI),2,,,1,,,,1,,,1,,,,,,1,
C00506535,AX PAC,Sean Duffy (WI),2,,,1,,,,1,,,1,,,,,,1,
C00760694,SCONNIE PAC,Scott Fitzgerald (WI-05),2,1,1,,,,,,1,1,,,1,,1,1,,1
C00720011,SCOTT FITZGERALD FOR CONGRESS,Scott Fitzgerald (WI-05),2,1,1,,,,,,1,1,,,1,,1,1,,1
C00657262,GO PAC GO,Mike Gallagher (WI-08),4,1,1,1,1,,,,,,1,,,,1,1,1,
C00610212,MIKE GALLAGHER FOR WISCONSIN,Mike Gallagher (WI-08),4,1,1,1,1,,,,,,1,,,,1,1,1,
C00747204,DAM MAN PAC,Tom Tiffany (WI-07),0,,,,,,,,1,1,,1,,1,1,,,1
C00718635,"TIFFANY FOR WISCONSIN, INC.",Tom Tiffany (WI-07),0,,,,,,,,1,1,,1,,1,1,,,1
C00628669,1848 PAC,Glenn Grothman (WI-06),5,1,1,1,1,1,,,,1,1,,,,1,1,1,1
C00561597,GLENN GROTHMAN FOR CONGRESS,Glenn Grothman (WI-06),5,1,1,1,1,1,,,,1,1,,,,1,1,1,1
C00463620,RIBBLE FOR CONGRESS,Reid Ribble (former (WI-08),3,,,,,1,1,1,,,,,,,,,,
C00505297,TITLETOWN PAC,Reid Ribble (former (WI-08),3,,,,,1,1,1,,,,,,,,,,
C00377689,"PROSPERITY ACTION, INC.",Paul Ryan (former WI),0,,,,,,,,,,1,,,,,,1,
C00330894,"RYAN FOR CONGRESS, INC.",Paul Ryan (former WI),0,,,,,,,,,,1,,,,,,1,
C00083428,SENSENBRENNER COMMITTEE,James Sensenbrenner (former WI-05),2,,,1,1,,,,,,1,,,,,,1,
C00697326,"ON WISCONSIN PAC, INC.",Bryan Steil (WI-01),0,,,,,,,,,1,,,,,1,1,,1
C00677286,"STEIL FOR WISCONSIN, INC.",Bryan Steil (WI-01),0,,,,,,,,,1,,,,,1,1,,1
C00607556,THE GREAT TASK,Liz Cheney (formerly WY-AL),3,,1,1,1,,,,,,1,,,,1,1,1,1
C00607556,LIZ CHENEY FOR WYOMING,Liz Cheney (formerly WY-AL),3,,1,1,1,,,,,,1,,,,1,1,1,1
C00799809,1890 PAC,Harriet Hageman (WY-AL),1,1,,,,,,,,1,,,1,,,,,
C00788943,HAGEMAN FOR WYOMING,Harriet Hageman (WY-AL),1,1,,,,,,,,1,,,1,,,,,
C00853622,PROTECTING THE PACIFIC PAC,James Moylan (Guam Delegate),0,,,,,,,,,1,,,,,,,,
C00809343,JAMES MOYLAN FOR CONGRESS,James Moylan (Guam Delegate),0,,,,,,,,,1,,,,,,,,